algorithm,pqc_adoption_pct,effective_tps,avg_gas_per_tx,block_utilization,base_fee_gwei,consensus_phase,attestation_bandwidth_mbps,gas_limit_increase_threshold,consensus_feasibility
SPHINCS+-256s,75.0,4.0,623099.0,1.0,49.6162,pqc,1960.84,5.0,False
SPHINCS+-256s,80.0,3.75,660858.0,1.0,51.0322,bls,0.03,5.0,False
SPHINCS+-256s,80.0,3.75,660858.0,1.0,51.0322,pqc,1960.84,5.0,False
SPHINCS+-256s,85.0,3.5,698616.0,1.0,52.4481,bls,0.03,5.0,False
SPHINCS+-256s,85.0,3.5,698616.0,1.0,52.4481,pqc,1960.84,5.0,False
SPHINCS+-256s,90.0,3.333,736375.0,1.0,53.8641,bls,0.03,5.0,False
SPHINCS+-256s,90.0,3.333,736375.0,1.0,53.8641,pqc,1960.84,5.0,False
SPHINCS+-256s,95.0,3.167,774133.0,1.0,55.28,bls,0.03,5.0,False
SPHINCS+-256s,95.0,3.167,774133.0,1.0,55.28,pqc,1960.84,5.0,False
SPHINCS+-256s,100.0,3.0,811892.0,1.0,56.6959,bls,0.03,5.0,False
SPHINCS+-256s,100.0,3.0,811892.0,1.0,56.6959,pqc,1960.84,5.0,False
